VIN,Model,Trim,MSRP,Year,Term,ModelNumber,ModelDescription,LeaseCash,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Residual
,,,,2025,48,A0462AEZ,4dr Wgn Limited,10000,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00412,-,0.48
,,,,2025,48,A0462REZ,4dr Wgn Limited,10250,0.00302,0.00302,0.00355,0.00372,0.00398,0.00412,0.00412,-,0.5
,,,,2025,48,A0492REZ,4dr Wgn SE (Standard Range),9250,0.00301,0.00301,0.00321,0.00338,0.00364,0.00378,0.00392,-,0.46
,,,,2026,24,74412REZ,S RWD,7500,0.0024,0.0024,0.00253,0.00266,0.00279,0.00293,0.00314,-,0.71
,,,,2026,24,74432AEZ,SE AWD,7500,0.00206,0.00206,0.00219,0.00232,0.00245,0.00259,0.0028,-,0.71
,,,,2026,24,74452AEZ,SEL AWD,7500,0.00225,0.00225,0.00238,0.00251,0.00264,0.00278,0.00299,-,0.72
,,,,2026,24,74472AEZ,Performance Limited AWD,7500,0.00208,0.00208,0.00221,0.00234,0.00247,0.00261,0.00282,-,0.71
,,,,2026,24,74492AEZ,Performance Calligraphy AWD,7500,0.00213,0.00213,0.00226,0.00239,0.00252,0.00266,0.00287,-,0.7
,,,,2026,24,744A2AEZ,Performance    Calligraphy    Design AWD,7500,0.00199,0.00199,0.00212,0.00225,0.00238,0.00252,0.00273,-,0.69
,,,,2026,36,74412REZ,S RWD,10500,0.0023,0.0023,0.00248,0.00261,0.00279,0.00292,0.00299,-,0.61
,,,,2026,36,74432AEZ,SE AWD,12000,0.00253,0.00253,0.00271,0.00284,0.00302,0.00315,0.00322,-,0.61
,,,,2026,36,74452AEZ,SEL AWD,12000,0.0023,0.0023,0.00248,0.00261,0.00279,0.00292,0.00299,-,0.6
,,,,2026,36,74472AEZ,Performance Limited AWD,12000,0.00246,0.00246,0.00264,0.00277,0.00295,0.00308,0.00315,-,0.6
,,,,2026,36,74492AEZ,Performance Calligraphy AWD,12500,0.00281,0.00281,0.00299,0.00312,0.0033,0.00343,0.0035,-,0.59
,,,,2026,36,744A2AEZ,Performance    Calligraphy    Design AWD,10500,0.0024,0.0024,0.00258,0.00271,0.00289,0.00302,0.00309,-,0.59
,,,,2026,39,74412REZ,S RWD,10000,0.00277,0.00277,0.00295,0.00308,0.00326,0.00339,0.00346,-,0.57
,,,,2026,39,74432AEZ,SE AWD,10000,0.00226,0.00226,0.00244,0.00257,0.00275,0.00288,0.00295,-,0.56
,,,,2026,39,74452AEZ,SEL AWD,10000,0.00222,0.00222,0.0024,0.00253,0.00271,0.00284,0.00291,-,0.56
,,,,2026,39,74472AEZ,Performance Limited AWD,10000,0.00237,0.00237,0.00255,0.00268,0.00286,0.00299,0.00306,-,0.56
,,,,2026,39,74492AEZ,Performance Calligraphy AWD,11000,0.00286,0.00286,0.00304,0.00317,0.00335,0.00348,0.00355,-,0.55
,,,,2026,39,744A2AEZ,Performance    Calligraphy    Design AWD,11000,0.00283,0.00283,0.00301,0.00314,0.00332,0.00345,0.00352,-,0.54
,,,,2026,48,74412REZ,S RWD,9000,0.00283,0.00283,0.00303,0.0032,0.00346,0.0036,0.00374,-,0.47
,,,,2026,48,74432AEZ,SE AWD,9000,0.00248,0.00248,0.00268,0.00285,0.00311,0.00325,0.00339,-,0.47
